dataset,surface_kind,block_column,block_id,axis,n_records,target_count,target_prevalence,donor_count,pair_capacity,target_mean,donor_mean,donor_target_contrast,outcome_scale,opportunity_score,passes_opportunity_gate,label_multiset_preserving_swap_possible,source_note
matbench_expt_gap,composition_axis,none,all,major_element=W,4604,24,0.005212858384013901,462,24,0.0,4.207402597402598,4.207402597402598,1.8125,2.3213255709807434,True,True,"Public Matbench experimental band-gap records loaded through matminer; audited as composition-axis binding surfaces, not as evidence of corruption."
matbench_expt_gap,composition_axis,none,all,element=Pm,4604,22,0.0047784535186794095,462,22,0.0,4.207402597402598,4.207402597402598,1.8125,2.3213255709807434,True,True,"Public Matbench experimental band-gap records loaded through matminer; audited as composition-axis binding surfaces, not as evidence of corruption."
matbench_expt_gap,composition_axis,none,all,major_element=Pm,4604,22,0.0047784535186794095,462,22,0.0,4.207402597402598,4.207402597402598,1.8125,2.3213255709807434,True,True,"Public Matbench experimental band-gap records loaded through matminer; audited as composition-axis binding surfaces, not as evidence of corruption."
matbench_expt_gap,composition_axis,none,all,major_element=V,4604,52,0.011294526498696786,462,52,0.014615384615384615,4.207402597402598,4.192787212787213,1.8125,2.31326191050329,True,True,"Public Matbench experimental band-gap records loaded through matminer; audited as composition-axis binding surfaces, not as evidence of corruption."
matbench_expt_gap,composition_axis,none,all,major_element=Pt,4604,75,0.01629018245004344,462,75,0.031466666666666664,4.207402597402598,4.175935930735931,1.8125,2.3039646514405137,True,True,"Public Matbench experimental band-gap records loaded through matminer; audited as composition-axis binding surfaces, not as evidence of corruption."
matbench_expt_gap,composition_axis,none,all,major_element=Co,4604,113,0.024543874891398785,462,113,0.04309734513274335,4.207402597402598,4.1643052522698545,1.8125,2.2975477253902645,True,True,"Public Matbench experimental band-gap records loaded through matminer; audited as composition-axis binding surfaces, not as evidence of corruption."
matbench_expt_gap,composition_axis,none,all,major_element=Ni,4604,125,0.027150304083405734,461,125,0.0476,4.207852494577007,4.160252494577007,1.8125,2.295311721145935,True,True,"Public Matbench experimental band-gap records loaded through matminer; audited as composition-axis binding surfaces, not as evidence of corruption."
matbench_expt_gap,composition_axis,none,all,major_element=Mo,4604,29,0.00629887054735013,462,29,0.055172413793103454,4.207402597402598,4.152230183609494,1.8125,2.290885618543169,True,True,"Public Matbench experimental band-gap records loaded through matminer; audited as composition-axis binding surfaces, not as evidence of corruption."
matbench_expt_gap,composition_axis,none,all,major_element=Au,4604,78,0.016941789748045177,462,78,0.056923076923076917,4.207402597402598,4.150479520479521,1.8125,2.289919735436977,True,True,"Public Matbench experimental band-gap records loaded through matminer; audited as composition-axis binding surfaces, not as evidence of corruption."
matbench_expt_gap,composition_axis,none,all,major_element=Pd,4604,125,0.027150304083405734,462,125,0.06064,4.207402597402598,4.1467625974025975,1.8125,2.2878690192566054,True,True,"Public Matbench experimental band-gap records loaded through matminer; audited as composition-axis binding surfaces, not as evidence of corruption."
matbench_expt_gap,composition_axis,none,all,element=Co,4604,172,0.03735881841876629,461,172,0.06598837209302326,4.2087201735357915,4.1427318014427685,1.8125,2.285645131830493,True,True,"Public Matbench experimental band-gap records loaded through matminer; audited as composition-axis binding surfaces, not as evidence of corruption."
matbench_expt_gap,composition_axis,none,all,element=Ni,4604,204,0.044309296264118156,460,204,0.0826470588235294,4.208652173913044,4.126005115089514,1.8125,2.276416615221801,True,True,"Public Matbench experimental band-gap records loaded through matminer; audited as composition-axis binding surfaces, not as evidence of corruption."
